Site Number,Site Name,Site Name From 2019,Type,Sample Date,O18,H2,EC
1,Kat's Well,Kat's Well,G,2020-05-13,-18.91,-146.98,611
1,Kat's Well,Kat's Well,G,2020-06-14,-18.95,-145.03,511
1,Kat's Well,Kat's Well,G,2020-10-15,-18.79,-145.23,404
2,CR @ Parson,Columbia River @ Parson Bridge,R,2020-05-06,-18.56,-145.19,293
2,CR @ Parson,Columbia River @ Parson Bridge,R,2020-06-15,-18.43,-143.46,119.4
2,CR @ Parson,Columbia River @ Parson Bridge,R,2020-10-08,-17.82,-135.91,177.2
3,CR @ Spilli,Columbia River at Spillimacheen,R,2020-05-04,-18.16,-143.4,271.9
3,CR @ Spilli,Columbia River at Spillimacheen,R,2020-06-05,-18.225,-140.965,172.2
3,CR @ Spilli,Columbia River at Spillimacheen,R,2020-10-08,-17.29,-133.68,189.5
21,Overlook Wetland-S Quinn Cr,just after Castledale big with Lilys,W,2020-05-07,-16.85,-134.93,388
21,Overlook Wetland-S Quinn Cr,just after Castledale big with Lilys,W,2020-06-03,-16.52,-131.74,159.5
21,Overlook Wetland-S Quinn Cr,just after Castledale big with Lilys,W,2020-10-08,-13.91,-122.43,280.3
24,Nabel Road/Nature Trust,before Castledale w of RR by Rd,W,2020-05-07,-15.28,-126.37,852
24,Nabel Road/Nature Trust,before Castledale w of RR by Rd,W,2020-06-03,-18.28,-141.33,181.6
24,Nabel Road/Nature Trust,before Castledale w of RR by Rd,W,2020-10-08,-12.17,-111.15,604
30,Spilli Bridge,Downstream of Spilli bridge,W,2020-05-05,-10.54,-106.55,252.5
30,Spilli Bridge,Downstream of Spilli bridge,W,2020-06-05,-18.41,-141.75,139.2
30,Spilli Bridge,Downstream of Spilli bridge,W,2020-10-08,-11.69,-110.28,148.5
31,Galbraith L,Galbraith's Lake,W,2020-05-05,-13.23,-119.73,484
31,Galbraith Lk,Galbraith's Lake,W,2020-06-01,-12.85,-116.71,266.8
31,Galbraith L,Galbraith's Lake,W,2020-10-08,-17.27,-138.41,388
32,Perry N,Perrys Lake,W,2020-06-05,-17.48,-138.955,184.8
35,Brisco Mill,Brisco Mill,W,2020-05-06,-15.79,-131.27,1188
35,Brisco Mill,Brisco Mill,W,2020-06-04,-13.02,-119.83,762
35,Brisco Mil/Loon pond,Brisco Mill,W,2020-10-08,-10.82,-108.49,691
36,South of Brisco Mill,South of Brisco Mill,W,2020-05-06,-14.74,-125.19,444
36,Brisco Mill S,South of Brisco Mill,W,2020-06-04,-17.69,-141.16,165.9
36,South of Brisco Mill,South of Brisco Mill,W,2020-10-08,-14.14,-122.1,377
37,CR @ Brisco,Columbia River Bridge @ Brisco ,R,2020-05-06,-18.52,-144.88,255.6
37,CR @ Brisco,Columbia River Bridge @ Brisco ,R,2020-06-05,-18.09,-141.55,190.6
37,CR @ Brisco,Columbia River Bridge @ Brisco ,R,2020-10-07,-17.865,-138.075,229.5
38,Thresher's Lake,Thresher's Lake,W,2020-05-08,-15.37,-129.35,463
38,Thresher's Lake,Thresher's Lake,W,2020-06-02,-15.07,-130.5,199.6
38,Thresher's Lake,Thresher's Lake,W,2020-10-07,-14.16,-123.74,306
39,Frog Pond,Frog reintroduction site,W,2020-05-06,-15.82,-131.34,374
39,Frog Pond,Frog reintroduction site,W,2020-06-05,-14.28,-124.76,159.8
39,Frog Pond,Frog reintroduction site,W,2020-10-07,-13.01,-118.08,297.3
43,Luxor,Luxor Road,W,2020-05-07,-13.335,-117.815,312
43,Luxor,Luxor Road,W,2020-06-09,-17.47,-136.895,330
43,Luxor,Luxor Road,W,2020-10-09,-13.34,-120.01,606
47,Taggert E of RR,Taggert East of RR,W,2020-05-09,-10.15,-103.64,406
